15-dic-2025;;;;;;;;;;;
iShares Core MSCI Pacific ex-Japan UCITS ETF;;;;;;;;;;;
Inception Date;12/01/2010;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;94,00;;;;;;;;;;
Shares Outstanding;15.650.285,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
CBA;COMMONWEALTH BANK OF AUSTRALIA;Finanziari;Azionario;280.010.814,76;8,25;280.010.814,76;2.714.968,00;103,14;Australia;Asx - All Markets;AUD
BHP;BHP GROUP LTD;Materiali;Azionario;242.592.505,82;7,15;242.592.505,82;8.239.741,00;29,44;Australia;Asx - All Markets;AUD
1299;AIA GROUP LTD;Finanziari;Azionario;176.618.872,60;5,20;176.618.872,60;17.042.024,00;10,36;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
D05;DBS GROUP HOLDINGS LTD;Finanziari;Azionario;148.232.421,35;4,37;148.232.421,35;3.454.735,00;42,91;Singapore;Singapore Exchange;SGD
WBC;WESTPAC BANKING CORPORATION CORP;Finanziari;Azionario;143.511.678,00;4,23;143.511.678,00;5.548.748,00;25,86;Australia;Asx - All Markets;AUD
NAB;NATIONAL AUSTRALIA BANK LTD;Finanziari;Azionario;139.456.541,93;4,11;139.456.541,93;4.969.036,00;28,07;Australia;Asx - All Markets;AUD
ANZ;ANZ GROUP HOLDINGS LTD;Finanziari;Azionario;116.649.797,72;3,44;116.649.797,72;4.839.957,00;24,10;Australia;Asx - All Markets;AUD
388;HONG KONG EXCHANGES AND CLEARING L;Finanziari;Azionario;101.543.847,18;2,99;101.543.847,18;1.956.932,00;51,89;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
WES;WESFARMERS LTD;Consumi Discrezionali;Azionario;99.518.685,95;2,93;99.518.685,95;1.840.828,00;54,06;Australia;Asx - All Markets;AUD
CSL;CSL LTD;Salute;Azionario;93.850.914,15;2,76;93.850.914,15;787.009,00;119,25;Australia;Asx - All Markets;AUD
O39;OVERSEA-CHINESE BANKING LTD;Finanziari;Azionario;82.226.371,95;2,42;82.226.371,95;5.492.841,00;14,97;Singapore;Singapore Exchange;SGD
MQG;MACQUARIE GROUP LTD DEF;Finanziari;Azionario;78.269.692,66;2,31;78.269.692,66;587.539,00;133,22;Australia;Asx - All Markets;AUD
SE;SEA ADS REPRESENTING LTD CLASS A;Consumi Discrezionali;Azionario;75.433.085,52;2,22;75.433.085,52;620.542,00;121,56;Singapore;New York Stock Exchange Inc.;USD
GMG;GOODMAN GROUP UNITS;Immobili;Azionario;65.027.060,42;1,92;65.027.060,42;3.316.747,00;19,61;Australia;Asx - All Markets;AUD
RIO;RIO TINTO LTD;Materiali;Azionario;56.155.662,59;1,65;56.155.662,59;603.389,00;93,07;Australia;Asx - All Markets;AUD
U11;UNITED OVERSEAS BANK LTD;Finanziari;Azionario;54.633.003,60;1,61;54.633.003,60;2.025.319,00;26,98;Singapore;Singapore Exchange;SGD
WDS;WOODSIDE ENERGY GROUP LTD;Energia;Azionario;50.367.843,93;1,48;50.367.843,93;3.084.946,00;16,33;Australia;Asx - All Markets;AUD
TCL;TRANSURBAN GROUP STAPLED UNITS;Industriali;Azionario;48.439.416,64;1,43;48.439.416,64;5.051.023,00;9,59;Australia;Asx - All Markets;AUD
Z74;SINGAPORE TELECOMMUNICATIONS LTD;Comunicazione;Azionario;43.680.348,14;1,29;43.680.348,14;12.052.783,00;3,62;Singapore;Singapore Exchange;SGD
FMG;FORTESCUE LTD;Materiali;Azionario;41.581.551,86;1,22;41.581.551,86;2.749.514,00;15,12;Australia;Asx - All Markets;AUD
NST;NORTHERN STAR RESOURCES LTD;Materiali;Azionario;39.333.061,82;1,16;39.333.061,82;2.209.302,00;17,80;Australia;Asx - All Markets;AUD
WOW;WOOLWORTHS GROUP LTD;Generi di largo consumo;Azionario;38.782.361,75;1,14;38.782.361,75;1.981.480,00;19,57;Australia;Asx - All Markets;AUD
ALL;ARISTOCRAT LEISURE LTD;Consumi Discrezionali;Azionario;34.069.410,04;1,00;34.069.410,04;901.590,00;37,79;Australia;Asx - All Markets;AUD
BXB;BRAMBLES LTD;Industriali;Azionario;33.351.477,26;0,98;33.351.477,26;2.216.033,00;15,05;Australia;Asx - All Markets;AUD
QBE;QBE INSURANCE GROUP LTD;Finanziari;Azionario;31.490.266,05;0,93;31.490.266,05;2.445.776,00;12,88;Australia;Asx - All Markets;AUD
