15-dic-2025;;;;;;;;;;;;
iShares Global Aerospace & Defence UCITS ETF;;;;;;;;;;;;
Inception Date;01/02/2024;;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;;
Number of Securities;77,00;;;;;;;;;;;
Shares Outstanding;129.545.500,00;;;;;;;;;;;
;;;;;;;;;;;;
Ticker dell'emittente;Nome;Investimento;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
GE;GE AEROSPACE;EQUITY;Industriali;Azionario;163.812.277,74;14,23;163.812.277,74;544.263,00;300,98;Stati Uniti;New York Stock Exchange Inc.;USD
RTX;RTX CORP;EQUITY;Industriali;Azionario;125.097.550,74;10,87;125.097.550,74;686.934,00;182,11;Stati Uniti;New York Stock Exchange Inc.;USD
BA;BOEING;EQUITY;Industriali;Azionario;82.229.386,50;7,14;82.229.386,50;400.143,00;205,50;Stati Uniti;New York Stock Exchange Inc.;USD
AIR;AIRBUS GROUP;EQUITY;Industriali;Azionario;73.162.112,47;6,36;73.162.112,47;317.150,00;230,69;Francia;Nyse Euronext - Euronext Paris;EUR
RR.;ROLLS-ROYCE HOLDINGS PLC;EQUITY;Industriali;Azionario;64.621.736,21;5,61;64.621.736,21;4.330.788,00;14,92;Regno unito;London Stock Exchange;GBP
SAF;SAFRAN SA;EQUITY;Industriali;Azionario;60.699.940,16;5,27;60.699.940,16;176.125,00;344,64;Francia;Nyse Euronext - Euronext Paris;EUR
LMT;LOCKHEED MARTIN CORP;EQUITY;Industriali;Azionario;51.078.213,64;4,44;51.078.213,64;105.442,00;484,42;Stati Uniti;New York Stock Exchange Inc.;USD
GD;GENERAL DYNAMICS CORP;EQUITY;Industriali;Azionario;44.142.181,23;3,84;44.142.181,23;129.567,00;340,69;Stati Uniti;New York Stock Exchange Inc.;USD
RHM;RHEINMETALL AG;EQUITY;Industriali;Azionario;43.640.705,83;3,79;43.640.705,83;23.579,00;1.850,83;Germania;Xetra;EUR
HWM;HOWMET AEROSPACE INC;EQUITY;Industriali;Azionario;40.813.098,04;3,55;40.813.098,04;206.921,00;197,24;Stati Uniti;New York Stock Exchange Inc.;USD
NOC;NORTHROP GRUMMAN CORP;EQUITY;Industriali;Azionario;39.787.089,00;3,46;39.787.089,00;69.100,00;575,79;Stati Uniti;New York Stock Exchange Inc.;USD
TDG;TRANSDIGM GROUP INC;EQUITY;Industriali;Azionario;37.397.963,52;3,25;37.397.963,52;28.944,00;1.292,08;Stati Uniti;New York Stock Exchange Inc.;USD
BA.;BAE SYSTEMS PLC;EQUITY;Industriali;Azionario;35.039.493,69;3,04;35.039.493,69;1.544.707,00;22,68;Regno unito;London Stock Exchange;GBP
LHX;L3HARRIS TECHNOLOGIES INC;EQUITY;Industriali;Azionario;27.711.863,85;2,41;27.711.863,85;96.045,00;288,53;Stati Uniti;New York Stock Exchange Inc.;USD
AXON;AXON ENTERPRISE INC;EQUITY;Industriali;Azionario;22.248.724,59;1,93;22.248.724,59;40.321,00;551,79;Stati Uniti;NASDAQ;USD
HO;THALES SA;EQUITY;Industriali;Azionario;12.643.752,26;1,10;12.643.752,26;46.473,00;272,07;Francia;Nyse Euronext - Euronext Paris;EUR
RKLB;ROCKET LAB CORP;EQUITY;Industriali;Azionario;12.075.224,25;1,05;12.075.224,25;217.925,00;55,41;Stati Uniti;NASDAQ;USD
LDO;LEONARDO FINMECCANICA SPA;EQUITY;Industriali;Azionario;11.597.556,58;1,01;11.597.556,58;204.772,00;56,64;Italia;Borsa Italiana;EUR
MTX;MTU AERO ENGINES HOLDING AG;EQUITY;Industriali;Azionario;11.551.444,99;1,00;11.551.444,99;27.648,00;417,80;Germania;Xetra;EUR
CW;CURTISS WRIGHT CORP;EQUITY;Industriali;Azionario;10.596.889,60;0,92;10.596.889,60;19.360,00;547,36;Stati Uniti;New York Stock Exchange Inc.;USD
012450;HANWHA AEROSPACE LTD;EQUITY;Industriali;Azionario;10.541.326,85;0,92;10.541.326,85;17.077,00;617,28;Corea;Korea Exchange (Stock Market);KRW
HEIA;HEICO CORP CLASS A;EQUITY;Industriali;Azionario;9.641.742,78;0,84;9.641.742,78;39.551,00;243,78;Stati Uniti;New York Stock Exchange Inc.;USD
WWD;WOODWARD INC;EQUITY;Industriali;Azionario;9.185.590,26;0,80;9.185.590,26;30.789,00;298,34;Stati Uniti;NASDAQ;USD
SAAB B;SAAB CLASS B;EQUITY;Industriali;Azionario;8.840.290,55;0,77;8.840.290,55;161.324,00;54,80;Svezia;Nasdaq Omx Nordic;SEK
CRS;CARPENTER TECHNOLOGY CORP;EQUITY;Industriali;Azionario;8.284.672,00;0,72;8.284.672,00;25.600,00;323,62;Stati Uniti;New York Stock Exchange Inc.;USD
BWXT;BWX TECHNOLOGIES INC;EQUITY;Industriali;Azionario;8.178.650,48;0,71;8.178.650,48;46.904,00;174,37;Stati Uniti;New York Stock Exchange Inc.;USD
TXT;TEXTRON INC;EQUITY;Industriali;Azionario;8.043.695,92;0,70;8.043.695,92;91.468,00;87,94;Stati Uniti;New York Stock Exchange Inc.;USD
ATI;ATI INC;EQUITY;Industriali;Azionario;7.693.679,52;0,67;7.693.679,52;70.766,00;108,72;Stati Uniti;New York Stock Exchange Inc.;USD
BBD.B;BOMBARDIER INC CLASS B;EQUITY;Industriali;Azionario;7.320.000,52;0,64;7.320.000,52;44.568,00;164,24;Canada;Toronto Stock Exchange;CAD
ESLT;ELBIT SYSTEMS LTD;EQUITY;Industriali;Azionario;7.083.941,06;0,62;7.083.941,06;13.780,00;514,07;Israele;Tel Aviv Stock Exchange;ILS
HII;HUNTINGTON INGALLS INDUSTRIES INC;EQUITY;Industriali;Azionario;6.634.548,96;0,58;6.634.548,96;20.156,00;329,16;Stati Uniti;New York Stock Exchange Inc.;USD
KTOS;KRATOS DEFENSE AND SECURITY SOLUTI;EQUITY;Industriali;Azionario;6.521.810,24;0,57;6.521.810,24;87.824,00;74,26;Stati Uniti;NASDAQ;USD
HEI;HEICO CORP;EQUITY;Industriali;Azionario;6.445.791,84;0,56;6.445.791,84;20.649,00;312,16;Stati Uniti;New York Stock Exchange Inc.;USD
KOG;KONGSBERG GRUPPEN;EQUITY;Industriali;Azionario;5.604.999,05;0,49;5.604.999,05;225.792,00;24,82;Norvegia;Oslo Bors Asa;NOK
S63;SINGAPORE TECHNOLOGIES ENGINEERING;EQUITY;Industriali;Azionario;5.034.459,10;0,44;5.034.459,10;785.400,00;6,41;Singapore;Singapore Exchange;SGD
CAE;CAE INC;EQUITY;Industriali;Azionario;4.815.698,64;0,42;4.815.698,64;164.661,00;29,25;Canada;Toronto Stock Exchange;CAD
MRO;MELROSE INDUSTRIES PLC;EQUITY;Industriali;Azionario;4.598.976,31;0,40;4.598.976,31;612.684,00;7,51;Regno unito;London Stock Exchange;GBP
BAB;BABCOCK INTERNATIONAL GROUP PLC;EQUITY;Industriali;Azionario;4.363.307,40;0,38;4.363.307,40;258.740,00;16,86;Regno unito;London Stock Exchange;GBP
AVAV;AEROVIRONMENT INC;EQUITY;Industriali;Azionario;3.842.069,64;0,33;3.842.069,64;16.327,00;235,32;Stati Uniti;NASDAQ;USD
MOGA;MOOG INC CLASS A;EQUITY;Industriali;Azionario;3.595.131,48;0,31;3.595.131,48;14.593,00;246,36;Stati Uniti;New York Stock Exchange Inc.;USD
HXL;HEXCEL CORP;EQUITY;Industriali;Azionario;3.012.119,00;0,26;3.012.119,00;40.870,00;73,70;Stati Uniti;New York Stock Exchange Inc.;USD
AM;DASSAULT AVIATION SA;EQUITY;Industriali;Azionario;2.998.761,39;0,26;2.998.761,39;9.366,00;320,18;Francia;Nyse Euronext - Euronext Paris;EUR
047810;KOREA AEROSPACE INDUSTRIES LTD;EQUITY;Industriali;Azionario;2.916.613,99;0,25;2.916.613,99;38.034,00;76,68;Corea;Korea Exchange (Stock Market);KRW
USD;USD CASH;CASH;Liquidità e/o derivati;Contanti;2.912.986,91;0,25;2.912.986,91;2.912.987,00;100,00;Stati Uniti;--;USD
KRMN;KARMAN HOLDINGS INC;EQUITY;Industriali;Azionario;2.683.061,32;0,23;2.683.061,32;39.422,00;68,06;Stati Uniti;New York Stock Exchange Inc.;USD
HAG;HENSOLDT AG;EQUITY;Industriali;Azionario;2.681.514,77;0,23;2.681.514,77;31.575,00;84,93;Germania;Xetra;EUR
ACHR;ARCHER AVIATION INC CLASS A;EQUITY;Industriali;Azionario;2.452.473,45;0,21;2.452.473,45;313.215,00;7,83;Stati Uniti;New York Stock Exchange Inc.;USD
MRCY;MERCURY SYSTEMS INC;EQUITY;Industriali;Azionario;2.048.549,49;0,18;2.048.549,49;27.501,00;74,49;Stati Uniti;NASDAQ;USD
VSEC;VSE CORP;EQUITY;Industriali;Azionario;2.002.749,12;0,17;2.002.749,12;11.824,00;169,38;Stati Uniti;NASDAQ;USD
SARO;STANDARDAERO;EQUITY;Industriali;Azionario;1.979.211,60;0,17;1.979.211,60;72.234,00;27,40;Stati Uniti;New York Stock Exchange Inc.;USD
079550;LIG NEX1 LTD;EQUITY;Industriali;Azionario;1.819.023,01;0,16;1.819.023,01;6.914,00;263,09;Corea;Korea Exchange (Stock Market);KRW
