15-dic-2025;;;;;;;;;;;
iShares Core MSCI EM IMI UCITS ETF;;;;;;;;;;;
Inception Date;30/05/2014;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;3.022,00;;;;;;;;;;
Shares Outstanding;709.449.982,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
2330;TAIWAN SEMICONDUCTOR MANUFACTURING;IT;Azionario;3.210.814.989,56;9,84;3.210.814.989,56;69.461.000,00;46,22;Taiwan;Taiwan Stock Exchange;TWD
700;TENCENT HOLDINGS LTD;Comunicazione;Azionario;1.398.899.250,19;4,29;1.398.899.250,19;18.053.340,00;77,49;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
005930;SAMSUNG ELECTRONICS LTD;IT;Azionario;948.040.569,98;2,90;948.040.569,98;13.306.621,00;71,25;Corea;Korea Exchange (Stock Market);KRW
9988;ALIBABA GROUP HOLDING LTD;Consumi Discrezionali;Azionario;925.749.347,25;2,84;925.749.347,25;48.480.048,00;19,10;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
000660;SK HYNIX INC;IT;Azionario;578.618.251,35;1,77;578.618.251,35;1.536.330,00;376,62;Corea;Korea Exchange (Stock Market);KRW
HDFCBANK;HDFC BANK LTD;Finanziari;Azionario;351.181.855,35;1,08;351.181.855,35;31.988.803,00;10,98;India;National Stock Exchange Of India;INR
RELIANCE;RELIANCE INDUSTRIES LTD;Energia;Azionario;290.535.488,68;0,89;290.535.488,68;16.939.580,00;17,15;India;National Stock Exchange Of India;INR
939;CHINA CONSTRUCTION BANK CORP H;Finanziari;Azionario;263.312.550,20;0,81;263.312.550,20;271.402.000,00;0,97;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
1810;XIAOMI CORP;IT;Azionario;260.691.434,92;0,80;260.691.434,92;48.486.800,00;5,38;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
2317;HON HAI PRECISION INDUSTRY LTD;IT;Azionario;249.477.444,44;0,76;249.477.444,44;35.330.624,00;7,06;Taiwan;Taiwan Stock Exchange;TWD
ICICIBANK;ICICI BANK LTD;Finanziari;Azionario;223.126.751,78;0,68;223.126.751,78;14.829.422,00;15,05;India;National Stock Exchange Of India;INR
PDD;PDD HOLDINGS ADS INC;Consumi Discrezionali;Azionario;220.815.676,80;0,68;220.815.676,80;2.000.142,00;110,40;Cina;NASDAQ;USD
2454;MEDIATEK INC;IT;Azionario;197.143.631,35;0,60;197.143.631,35;4.355.000,00;45,27;Taiwan;Taiwan Stock Exchange;TWD
3690;MEITUAN;Consumi Discrezionali;Azionario;181.863.551,50;0,56;181.863.551,50;14.026.294,00;12,97;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
INFY;INFOSYS LTD;IT;Azionario;166.148.189,19;0,51;166.148.189,19;9.382.156,00;17,71;India;National Stock Exchange Of India;INR
4BRZ;ISHARES MSCI BRAZIL UCITS ET USDHA;Finanziari;Azionario;165.215.731,48;0,51;165.215.731,48;3.626.333,00;45,56;Germania;Xetra;USD
BHARTIARTL;BHARTI AIRTEL LTD;Comunicazione;Azionario;165.053.087,60;0,51;165.053.087,60;7.235.776,00;22,81;India;National Stock Exchange Of India;INR
2308;DELTA ELECTRONICS INC;IT;Azionario;161.190.854,07;0,49;161.190.854,07;5.484.073,00;29,39;Taiwan;Taiwan Stock Exchange;TWD
2318;PING AN INSURANCE (GROUP) CO OF CH;Finanziari;Azionario;159.371.826,41;0,49;159.371.826,41;19.007.258,00;8,38;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
1398;INDUSTRIAL AND COMMERCIAL BANK OF;Finanziari;Azionario;144.258.757,40;0,44;144.258.757,40;184.337.346,00;0,78;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
NPN;NASPERS LIMITED LTD CLASS N;Consumi Discrezionali;Azionario;141.507.766,21;0,43;141.507.766,21;2.197.594,00;64,39;Sud Africa;Johannesburg Stock Exchange;ZAR
NU;NU HOLDINGS LTD CLASS A;Finanziari;Azionario;138.716.811,00;0,42;138.716.811,00;8.331.340,00;16,65;Brasile;New York Stock Exchange Inc.;USD
9999;NETEASE INC;Comunicazione;Azionario;137.100.024,67;0,42;137.100.024,67;4.925.695,00;27,83;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
1120;AL RAJHI BANK;Finanziari;Azionario;130.418.165,83;0,40;130.418.165,83;5.013.750,00;26,01;Arabia Saudita;Saudi Stock Exchange;SAR
1211;BYD LTD H;Consumi Discrezionali;Azionario;127.627.034,36;0,39;127.627.034,36;10.345.700,00;12,34;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
005935;SAMSUNG ELECTRONICS NON VOTING PRE;IT;Azionario;127.050.725,60;0,39;127.050.725,60;2.307.248,00;55,07;Corea;Korea Exchange (Stock Market);KRW
9961;TRIP.COM GROUP LTD;Consumi Discrezionali;Azionario;123.907.003,77;0,38;123.907.003,77;1.740.502,00;71,19;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
ANG;ANGLOGOLD ASHANTI PLC;Materiali;Azionario;119.534.030,12;0,37;119.534.030,12;1.415.053,00;84,47;Sud Africa;Johannesburg Stock Exchange;ZAR
3988;BANK OF CHINA LTD H;Finanziari;Azionario;113.313.449,71;0,35;113.313.449,71;200.409.000,00;0,57;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
GFI;GOLD FIELDS LTD;Materiali;Azionario;112.070.442,19;0,34;112.070.442,19;2.541.273,00;44,10;Sud Africa;Johannesburg Stock Exchange;ZAR
VALE3;CIA VALE DO RIO DOCE SH;Materiali;Azionario;111.067.104,23;0,34;111.067.104,23;8.692.453,00;12,78;Brasile;XBSP;BRL
M&M;MAHINDRA AND MAHINDRA LTD;Consumi Discrezionali;Azionario;104.530.967,85;0,32;104.530.967,85;2.628.738,00;39,76;India;National Stock Exchange Of India;INR
9618;JD.COM CLASS A INC;Consumi Discrezionali;Azionario;100.675.496,89;0,31;100.675.496,89;6.902.658,00;14,59;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
2222;SAUDI ARABIAN OIL;Energia;Azionario;99.236.798,59;0,30;99.236.798,59;15.514.433,00;6,40;Arabia Saudita;Saudi Stock Exchange;SAR
ITUB4;ITAU UNIBANCO HOLDING PREF SA;Finanziari;Azionario;98.276.962,32;0,30;98.276.962,32;13.155.136,00;7,47;Brasile;XBSP;BRL
9888;BAIDU CLASS A INC;Comunicazione;Azionario;94.993.953,73;0,29;94.993.953,73;6.227.786,00;15,25;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
TCS;TATA CONSULTANCY SERVICES LTD;IT;Azionario;91.013.042,19;0,28;91.013.042,19;2.556.484,00;35,60;India;National Stock Exchange Of India;INR
AXISBANK;AXIS BANK LTD;Finanziari;Azionario;90.997.264,94;0,28;90.997.264,94;6.426.310,00;14,16;India;National Stock Exchange Of India;INR
