18-dic-2025;;;;;;;;;;;
iShares Edge MSCI World Quality Factor UCITS ETF;;;;;;;;;;;
Inception Date;03/10/2014;;;;;;;;;;
Fund Holdings as of;18/12/2025;;;;;;;;;;
Number of Securities;299,00;;;;;;;;;;
Shares Outstanding;53.800.000,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
AAPL;APPLE INC;IT;Azionario;225.011.307,30;5,29;225.011.307,30;826.670,00;272,19;Stati Uniti;NASDAQ;USD
MSFT;MICROSOFT CORP;IT;Azionario;214.058.062,26;5,04;214.058.062,26;442.287,00;483,98;Stati Uniti;NASDAQ;USD
NVDA;NVIDIA CORP;IT;Azionario;203.136.051,40;4,78;203.136.051,40;1.166.510,00;174,14;Stati Uniti;NASDAQ;USD
V;VISA INC CLASS A;Finanziari;Azionario;159.045.572,56;3,74;159.045.572,56;459.656,00;346,01;Stati Uniti;New York Stock Exchange Inc.;USD
META;META PLATFORMS INC CLASS A;Comunicazione;Azionario;153.797.583,70;3,62;153.797.583,70;231.466,00;664,45;Stati Uniti;NASDAQ;USD
LLY;ELI LILLY;Salute;Azionario;103.367.091,52;2,43;103.367.091,52;97.804,00;1.056,88;Stati Uniti;New York Stock Exchange Inc.;USD
ASML;ASML HOLDING NV;IT;Azionario;96.462.723,86;2,27;96.462.723,86;92.144,00;1.046,87;Paesi Bassi;Euronext Amsterdam;EUR
MA;MASTERCARD INC CLASS A;Finanziari;Azionario;91.396.485,78;2,15;91.396.485,78;161.418,00;566,21;Stati Uniti;New York Stock Exchange Inc.;USD
TJX;TJX INC;Consumi Discrezionali;Azionario;83.405.048,32;1,96;83.405.048,32;538.514,00;154,88;Stati Uniti;New York Stock Exchange Inc.;USD
GOOGL;ALPHABET INC CLASS A;Comunicazione;Azionario;80.725.061,70;1,90;80.725.061,70;266.895,00;302,46;Stati Uniti;NASDAQ;USD
GOOG;ALPHABET INC CLASS C;Comunicazione;Azionario;68.633.223,75;1,61;68.633.223,75;225.953,00;303,75;Stati Uniti;NASDAQ;USD
CAT;CATERPILLAR INC;Industriali;Azionario;55.758.019,86;1,31;55.758.019,86;98.542,00;565,83;Stati Uniti;New York Stock Exchange Inc.;USD
LRCX;LAM RESEARCH CORP;IT;Azionario;52.429.609,80;1,23;52.429.609,80;318.334,00;164,70;Stati Uniti;NASDAQ;USD
NFLX;NETFLIX INC;Comunicazione;Azionario;51.138.162,00;1,20;51.138.162,00;544.023,00;94,00;Stati Uniti;NASDAQ;USD
