15-dic-25;;;;;;;;;;;
iShares Core MSCI Pacific ex-Japan UCITS ETF;;;;;;;;;;;
Inception Date;12/01/2010;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;94;;;;;;;;;;
Shares Outstanding;15.650.285,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
FR0013286192;FRANCE OAT 0.75% 25May28;Titoli di Stato;BOND;280.010.814,76;8,581167965;280.010.814,76;2.714.968,00;103,14;EUR;EUR;EUR
FR0013341682;FRENCH REPUBL OAT 0.75% 25Nov28;Titoli di Stato;BOND;242.592.505,82;7,911369775;242.592.505,82;8.239.741,00;29,44;EUR;EUR;EUR
FR001400AIN5;FRENCH REPUBL OAT 0.75% 25Feb28;Titoli di Stato;BOND;176.618.872,60;6,774717665;176.618.872,60;17.042.024,00;10,36;EUR;EUR;EUR
DE000BU25018;FEDERAL REPUB BOBL 2.4% 19Oct28;Titoli di Stato;BOND;148.232.421,35;4,178648261;148.232.421,35;3.454.735,00;42,91;EUR;EUR;EUR
ES0000012B39;KINGDOM OF SP 1.4% 30Apr28;Titoli di Stato;BOND;143.511.678,00;3,890878218;143.511.678,00;5.548.748,00;25,86;EUR;EUR;EUR
DE0001102440;FEDERAL REPUB BRD 0.5% 15Feb28;Titoli di Stato;BOND;139.456.541,93;3,88128151;139.456.541,93;4.969.036,00;28,07;EUR;EUR;EUR
ES0000012I08;KINGDOM OF SP % 31Jan28;Titoli di Stato;BOND;116.649.797,72;3,809274074;116.649.797,72;4.839.957,00;24,1;EUR;EUR;EUR
DE0001102457;FEDERAL REPUB BRD 0.25% 15Aug28;Titoli di Stato;BOND;101.543.847,18;3,806284998;101.543.847,18;1.956.932,00;51,89;EUR;EUR;EUR
IT0004889033;ITALIAN REPUB BTPS 4.75% 01Sep28;Titoli di Stato;BOND;99.518.685,95;3,756053406;99.518.685,95;1.840.828,00;54,06;EUR;EUR;EUR
DE000BU25000;FEDERAL REPUB BOBL 2.2% 13Apr28;Titoli di Stato;BOND;93.850.914,15;3,565730422;93.850.914,15;787.009,00;119,25;EUR;EUR;EUR
DE0001102556;FEDERAL REPUB BRD % 15Nov28;Titoli di Stato;BOND;82.226.371,95;3,556599371;82.226.371,95;5.492.841,00;14,97;EUR;EUR;EUR
ES0000012B88;KINGDOM OF SP 1.4% 30Jul28;Titoli di Stato;BOND;78.269.692,66;3,427907236;78.269.692,66;587.539,00;133,22;EUR;EUR;EUR
IT0005323032;REPUBLIC OF I BTPS 2% 01Feb28;Titoli di Stato;BOND;75.433.085,52;3,386260118;75.433.085,52;620.542,00;121,56;EUR;EUR;EUR
BE0000291972;BELGIUM OLO 5.5% 28Mar28;Titoli di Stato;BOND;65.027.060,42;3,225037871;65.027.060,42;3.316.747,00;19,61;EUR;EUR;EUR
IT0005340929;REPUBLIC OF I BTPS 2.8% 01Dec28;Titoli di Stato;BOND;56.155.662,59;3,178863086;56.155.662,59;603.389,00;93,07;EUR;EUR;EUR
ES00000124C5;SPAIN (KINGDO 5.15% 31Oct28;Titoli di Stato;BOND;54.633.003,60;3,102024558;54.633.003,60;2.025.319,00;26,98;EUR;EUR;EUR
DE0001135069;GERMANY BRD 5.625% 04Jan28;Titoli di Stato;BOND;50.367.843,93;2,680153109;50.367.843,93;3.084.946,00;16,33;EUR;EUR;EUR
IT0005521981;REPUBLIC OF I BTPS 3.4% 01Apr28;Titoli di Stato;BOND;48.439.416,64;2,647600271;48.439.416,64;5.051.023,00;9,59;EUR;EUR;EUR
NL0012818504;GOVERNMENT OF 0.75% 15Jul28;Titoli di Stato;BOND;43.680.348,14;2,623036076;43.680.348,14;12.052.783,00;3,62;EUR;EUR;EUR
IT0005548315;REPUBLIC OF I BTPS 3.8% 01Aug28;Titoli di Stato;BOND;41.581.551,86;2,59356029;41.581.551,86;2.749.514,00;15,12;EUR;EUR;EUR
IT0005433690;REPUBLIC OF I BTPS 0.25% 15Mar28;Titoli di Stato;BOND;39.333.061,82;2,590764753;39.333.061,82;2.209.302,00;17,8;EUR;EUR;EUR
BE0000345547;KINGDOM OF BE OLO 0.8% 22Jun28;Titoli di Stato;BOND;38.782.361,75;2,364211042;38.782.361,75;1.981.480,00;19,57;EUR;EUR;EUR
IT0005445306;REPUBLIC OF I BTPS 0.5% 15Jul28;Titoli di Stato;BOND;34.069.410,04;2,213376761;34.069.410,04;901.590,00;37,79;EUR;EUR;EUR
PTOTEVOE0018;PORTUGUESE RE 2.125% 17Oct28;Titoli di Stato;BOND;33.351.477,26;2,212978661;33.351.477,26;2.216.033,00;15,05;EUR;EUR;EUR
DE0001135085;GERMANY BRD 4.75% 04Jul28;Titoli di Stato;BOND;31.490.266,05;2,091549584;31.490.266,05;2.445.776,00;12,88;EUR;EUR;EUR
NL0000102317;NETHERLANDS 5.5% 15Jan28;Titoli di Stato;BOND;31.305.015,30;2,042975866;31.305.015,30;2.182.275,00;14,35;EUR;EUR;EUR
AT0000A1ZGE4;REPUBLIK OEST 0.75% 20Feb28  EMTN;Titoli di Stato;BOND;30.765.997,02;1,730181823;30.765.997,02;4.372.958,00;7,04;EUR;EUR;EUR
AT0000A2VB47;REPUBLIK OEST 0% 20Oct28;Titoli di Stato;BOND;29.594.388,30;1,256868619;29.594.388,30;6.016.250,00;4,92;EUR;EUR;EUR
IE00BDHDPR44;REPUBLIC OF I 0.9% 15May28;Titoli di Stato;BOND;28.984.088,95;1,158721009;28.984.088,95;2.337.334,00;12,4;EUR;EUR;EUR
FI4000348727;REPUBLIC OF F 0.5% 15Sep28;Titoli di Stato;BOND;27.853.571,41;1,002271108;27.853.571,41;2.371.500,00;11,75;EUR;EUR;EUR
FI4000037635;FINLAND 2.75% 04Jul28;Titoli di Stato;BOND;26.887.626,23;0,760678678;26.887.626,23;3.292.303,00;8,17;EUR;EUR;EUR
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
