18-apr-2025;;;;;;;;;;
iShares Global Aerospace & Defence UCITS ETF;;;;;;;;;;
Inception Date;01/02/2024;;;;;;;;;
Fund Holdings as of;18/04/2025;;;;;;;;;
Number of Securities;58,00;;;;;;;;;
Shares Outstanding;63.529.500,00;;;;;;;;;
;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Valuta di mercato
CCJ;Cameco Corp;Nucleare;Azionario;94,36;15.94;50.404.367,93;277.267,00;181,79;Australia;AUD
OKLO;Oklo Inc;Nucleare;Azionario;51,19;7.42;44.345.120,06;344.054,00;128,89;Australia;AUD
SMR;Nuscale Power Corp;Nucleare;Azionario;38,93;6.66;31.362.782,30;193.717,00;161,90;Australia;AUD
NXE;Nexgen Energy Ltd;Nucleare;Azionario;25,01;6.32;25.115.545,52;54.119,00;464,08;Australia;AUD
7011.T;Mitsubishi Heavy Industries Ltd;Nucleare;Azionario;24,43;5.29;24.722.130,78;159.612,00;154,89;Australia;AUD
J;Jacobs Solutions Inc;Nucleare;Azionario;18,58;5.11;20.823.585,53;86.456,00;240,86;Australia;AUD
IHICY;Ihi Corp;Nucleare;Azionario;16,28;5.10;20.705.071,84;2.190.083,00;9,45;Australia;AUD
ATRL.TO;Atkinsrealis Group Inc;Nucleare;Azionario;13,93;5.04;19.353.264,88;14.468,00;1.337,66;Australia;AUD
HTHIY;Hitachi Ltd;Nucleare;Azionario;13,30;4.97;19.017.945,27;35.193,00;540,39;Canada;CAD
6504.T;Fuji Electric Co Ltd;Nucleare;Azionario;12,75;4.87;18.695.935,21;11.251,00;1.661,71;Canada;CAD
02826K.KS;Samsung C&T Corp;Nucleare;Azionario;23,88;4.66;18.101.461,28;65.566,00;276,08;Canada;CAD
UEC;Uranium Energy Corp;Nucleare;Azionario;0,91;4.10;17.656.784,08;777.761,00;22,70;Canada;CAD
-;Usec Inc;Nucleare;Azionario;0,65;4.06;12.892.199,37;104.619,00;123,23;Canada;CAD
SRUUF;Sprott Physical Uranium Trust;Nucleare;Azionario;0,65;3.95;10.666.375,38;48.879,00;218,22;Canada;CAD
DNN;Denison Mines Corp;Nucleare;Azionario;0,65;2.43;10.442.508,39;18.663,00;559,53;Canada;CAD
PALAF;Paladin Energy Ltd;Nucleare;Azionario;0,65;2.19;6.557.760,46;22.836,00;287,17;Corea del Sud;KRW
052690.KS;Kepco Engineering & Construction Co Inc;Nucleare;Azionario;0,65;1.96;5.335.628,62;104.346,00;51,13;Corea del Sud;KRW
JGCCY;Jgc Corp;Nucleare;Azionario;0,65;1.90;4.520.607,49;7.747,00;583,53;Giappone;JPY
EFR.TO;Energy Fuels Inc/Canada;Nucleare;Azionario;0,39;1.89;4.309.922,87;13.848,00;311,23;Giappone;JPY
CGNMF;Cgn Mining Co Ltd;Nucleare;Azionario;0,39;1.35;3.835.248,77;84.053,00;45,63;Giappone;JPY
DYLLF;Deep Yellow Ltd;Nucleare;Azionario;0,39;1.28;3.765.586,50;19.175,00;196,38;Giappone;JPY
YCA.L;Yellow Cake Plc;Nucleare;Azionario;0,39;1.16;3.468.804,42;22.647,00;153,17;Kazakistan;KZT
BQSSF;Boss Energy Ltd;Nucleare;Azionario;0,39;0.99;3.165.561,36;47.934,00;66,04;Regno Unito;GBP
SILXF;Silex Systems Ltd;Nucleare;Azionario;0,39;0.67;3.150.404,16;9.892,00;318,48;Stati Uniti;USD
NATKY;Nac Kazatomprom Jsc;Nucleare;Azionario;0,39;0.57;2.600.631,20;6.370,00;408,26;Stati Uniti;USD
-;Other/Cash;Nucleare;Azionario;0,39;0.12;2.599.297,05;15.365,00;169,17;Stati Uniti;USD
