18-dic-2025;;;;;;;;;;;
iShares Automation & Robotics UCITS ETF;;;;;;;;;;;
Inception Date;08/09/2016;;;;;;;;;;
Fund Holdings as of;18/12/2025;;;;;;;;;;
Number of Securities;137,00;;;;;;;;;;
Shares Outstanding;214.769.795,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
6857;ADVANTEST CORP;IT;Azionario;184.042.248,22;5,05;184.042.248,22;1.522.300,00;120,90;Giappone;Tokyo Stock Exchange;JPY
INTC;INTEL CORPORATION CORP;IT;Azionario;149.125.565,96;4,09;149.125.565,96;4.110.407,00;36,28;Stati Uniti;NASDAQ;USD
AMD;ADVANCED MICRO DEVICES INC;IT;Azionario;148.066.213,68;4,06;148.066.213,68;736.428,00;201,06;Stati Uniti;NASDAQ;USD
KLAC;KLA CORP;IT;Azionario;129.513.442,89;3,55;129.513.442,89;105.951,00;1.222,39;Stati Uniti;NASDAQ;USD
ABBN;ABB LTD;Industriali;Azionario;114.513.382,17;3,14;114.513.382,17;1.564.412,00;73,20;Svizzera;SIX Swiss Exchange;CHF
NVDA;NVIDIA CORP;IT;Azionario;109.783.950,90;3,01;109.783.950,90;630.435,00;174,14;Stati Uniti;NASDAQ;USD
ROK;ROCKWELL AUTOMATION INC;Industriali;Azionario;109.306.624,68;3,00;109.306.624,68;279.114,00;391,62;Stati Uniti;New York Stock Exchange Inc.;USD
SIE;SIEMENS N AG;Industriali;Azionario;100.081.569,81;2,74;100.081.569,81;361.929,00;276,52;Germania;Xetra;EUR
SNOW;SNOWFLAKE INC;IT;Azionario;96.455.529,09;2,64;96.455.529,09;435.839,00;221,31;Stati Uniti;New York Stock Exchange Inc.;USD
ISRG;INTUITIVE SURGICAL INC;Salute;Azionario;96.327.050,26;2,64;96.327.050,26;171.434,00;561,89;Stati Uniti;NASDAQ;USD
EMR;EMERSON ELECTRIC;Industriali;Azionario;94.140.849,60;2,58;94.140.849,60;715.356,00;131,60;Stati Uniti;New York Stock Exchange Inc.;USD
6954;FANUC CORP;Industriali;Azionario;93.873.570,41;2,57;93.873.570,41;2.573.870,00;36,47;Giappone;Tokyo Stock Exchange;JPY
ADSK;AUTODESK INC;IT;Azionario;91.393.880,80;2,51;91.393.880,80;305.420,00;299,24;Stati Uniti;NASDAQ;USD
GRMN;GARMIN LTD;Consumi Discrezionali;Azionario;87.415.912,80;2,40;87.415.912,80;432.324,00;202,20;Stati Uniti;New York Stock Exchange Inc.;USD
TER;TERADYNE INC;IT;Azionario;85.561.186,10;2,35;85.561.186,10;449.258,00;190,45;Stati Uniti;NASDAQ;USD
MCHP;MICROCHIP TECHNOLOGY INC;IT;Azionario;83.690.226,10;2,29;83.690.226,10;1.306.435,00;64,06;Stati Uniti;NASDAQ;USD
6861;KEYENCE CORP;IT;Azionario;78.923.610,53;2,16;78.923.610,53;219.100,00;360,22;Giappone;Tokyo Stock Exchange;JPY
WDAY;WORKDAY INC CLASS A;IT;Azionario;78.315.363,04;2,15;78.315.363,04;359.113,00;218,08;Stati Uniti;NASDAQ;USD
SAP;SAP;IT;Azionario;73.240.309,30;2,01;73.240.309,30;298.183,00;245,62;Germania;Xetra;EUR
ROP;ROPER TECHNOLOGIES INC;IT;Azionario;71.458.995,18;1,96;71.458.995,18;158.618,00;450,51;Stati Uniti;NASDAQ;USD
NOW;SERVICENOW INC;IT;Azionario;68.859.951,00;1,89;68.859.951,00;448.950,00;153,38;Stati Uniti;New York Stock Exchange Inc.;USD
HEXA B;HEXAGON CLASS B;IT;Azionario;68.360.085,03;1,87;68.360.085,03;5.943.967,00;11,50;Svezia;Nasdaq Omx Nordic;SEK
CRDO;CREDO TECHNOLOGY GROUP HOLDING LTD;IT;Azionario;65.815.761,48;1,80;65.815.761,48;474.964,00;138,57;Stati Uniti;NASDAQ;USD
CSU;CONSTELLATION SOFTWARE INC;IT;Azionario;61.187.386,64;1,68;61.187.386,64;25.329,00;2.415,70;Canada;Toronto Stock Exchange;CAD
PTC;PTC INC;IT;Azionario;59.341.096,30;1,63;59.341.096,30;337.357,00;175,90;Stati Uniti;NASDAQ;USD
DSY;DASSAULT SYSTEMES;IT;Azionario;56.535.183,47;1,55;56.535.183,47;2.031.581,00;27,83;Francia;Nyse Euronext - Euronext Paris;EUR
FTV;FORTIVE CORP;Industriali;Azionario;51.895.333,49;1,42;51.895.333,49;949.247,00;54,67;Stati Uniti;New York Stock Exchange Inc.;USD
HLMA;HALMA PLC;IT;Azionario;50.313.018,44;1,38;50.313.018,44;1.059.928,00;47,47;Regno unito;London Stock Exchange;GBP
6920;LASERTEC CORP;IT;Azionario;47.657.918,93;1,31;47.657.918,93;263.900,00;180,59;Giappone;Tokyo Stock Exchange;JPY
SGE;THE SAGE GROUP PLC;IT;Azionario;40.174.112,86;1,10;40.174.112,86;2.736.689,00;14,68;Regno unito;London Stock Exchange;GBP
LECO;LINCOLN ELECTRIC HOLDINGS INC;Industriali;Azionario;38.057.554,68;1,04;38.057.554,68;156.172,00;243,69;Stati Uniti;NASDAQ;USD
MSTR;STRATEGY INC CLASS A;IT;Azionario;36.618.951,36;1,00;36.618.951,36;231.414,00;158,24;Stati Uniti;NASDAQ;USD
NDSN;NORDSON CORP;Industriali;Azionario;36.002.448,70;0,99;36.002.448,70;151.055,00;238,34;Stati Uniti;NASDAQ;USD
6383;DAIFUKU LTD;Industriali;Azionario;32.832.380,12;0,90;32.832.380,12;1.062.833,00;30,89;Giappone;Tokyo Stock Exchange;JPY
EPAM;EPAM SYSTEMS INC;IT;Azionario;32.539.817,64;0,89;32.539.817,64;157.182,00;207,02;Stati Uniti;New York Stock Exchange Inc.;USD
4684;OBIC LTD;IT;Azionario;31.421.307,02;0,86;31.421.307,02;995.200,00;31,57;Giappone;Tokyo Stock Exchange;JPY
METSO;METSO CORPORATION;Industriali;Azionario;30.995.584,82;0,85;30.995.584,82;1.800.474,00;17,22;Finlandia;Nasdaq Omx Helsinki Ltd.;EUR
LSCC;LATTICE SEMICONDUCTOR CORP;IT;Azionario;28.163.289,20;0,77;28.163.289,20;385.640,00;73,03;Stati Uniti;NASDAQ;USD
G1A;GEA GROUP AG;Industriali;Azionario;27.323.020,27;0,75;27.323.020,27;409.477,00;66,73;Germania;Xetra;EUR
NVMI;NOVA LTD;IT;Azionario;25.734.772,12;0,71;25.734.772,12;81.327,00;316,44;Israele;Tel Aviv Stock Exchange;ILS
OTEX;OPEN TEXT CORP;IT;Azionario;24.443.189,95;0,67;24.443.189,95;729.296,00;33,52;Canada;Toronto Stock Exchange;CAD
3661;ALCHIP TECHNOLOGIES LTD;IT;Azionario;21.502.084,03;0,59;21.502.084,03;214.000,00;100,48;Taiwan;Taiwan Stock Exchange;TWD
KCR;KONECRANES;Industriali;Azionario;21.208.588,04;0,58;21.208.588,04;198.521,00;106,83;Finlandia;Nasdaq Omx Helsinki Ltd.;EUR
6506;YASKAWA ELECTRIC CORP;Industriali;Azionario;20.918.764,99;0,57;20.918.764,99;740.175,00;28,26;Giappone;Tokyo Stock Exchange;JPY
JBTM;JBT MAREL CORP;Industriali;Azionario;20.789.316,83;0,57;20.789.316,83;136.943,00;151,81;Stati Uniti;New York Stock Exchange Inc.;USD
ONTO;ONTO INNOVATION INC;IT;Azionario;20.588.698,89;0,56;20.588.698,89;135.693,00;151,73;Stati Uniti;New York Stock Exchange Inc.;USD
BSY;BENTLEY SYSTEMS INC CLASS B;IT;Azionario;20.179.839,44;0,55;20.179.839,44;505.507,00;39,92;Stati Uniti;NASDAQ;USD
ESTC;ELASTIC NV;IT;Azionario;19.529.683,32;0,54;19.529.683,32;256.396,00;76,17;Stati Uniti;New York Stock Exchange Inc.;USD
3008;LARGAN PRECISION LTD;IT;Azionario;19.482.710,98;0,53;19.482.710,98;302.793,00;64,34;Taiwan;Taiwan Stock Exchange;TWD
TTAN;SERVICETITAN INC CLASS A;IT;Azionario;18.805.384,05;0,52;18.805.384,05;174.885,00;107,53;Stati Uniti;NASDAQ;USD
MNDY;MONDAYCOM LTD;IT;Azionario;18.734.099,28;0,51;18.734.099,28;128.739,00;145,52;Israele;NASDAQ;USD
ESAB;ESAB CORP;Industriali;Azionario;17.990.958,88;0,49;17.990.958,88;158.204,00;113,72;Stati Uniti;New York Stock Exchange Inc.;USD
NEM;NEMETSCHEK;IT;Azionario;17.700.578,36;0,49;17.700.578,36;159.639,00;110,88;Germania;Xetra;EUR
PATH;UIPATH INC CLASS A;IT;Azionario;17.406.703,16;0,48;17.406.703,16;1.092.014,00;15,94;Stati Uniti;New York Stock Exchange Inc.;USD
3443;GLOBAL UNICHIP CORP;IT;Azionario;15.558.408,22;0,43;15.558.408,22;243.000,00;64,03;Taiwan;Taiwan Stock Exchange;TWD
KGX;KION GROUP AG;Industriali;Azionario;15.509.957,23;0,43;15.509.957,23;198.885,00;77,98;Germania;Xetra;EUR
TNE;TECHNOLOGY ONE LTD;IT;Azionario;14.856.704,27;0,41;14.856.704,27;812.497,00;18,29;Australia;Asx - All Markets;AUD
6645;OMRON CORP;IT;Azionario;14.407.059,05;0,40;14.407.059,05;572.400,00;25,17;Giappone;Tokyo Stock Exchange;JPY
6845;AZBIL CORP;IT;Azionario;13.511.919,41;0,37;13.511.919,41;1.505.524,00;8,97;Giappone;Tokyo Stock Exchange;JPY
VALMT;VALMET;Industriali;Azionario;12.800.456,74;0,35;12.800.456,74;407.290,00;31,43;Finlandia;Nasdaq Omx Helsinki Ltd.;EUR
SLAB;SILICON LABORATORIES INC;IT;Azionario;12.231.327,54;0,34;12.231.327,54;90.946,00;134,49;Stati Uniti;NASDAQ;USD
NOVT;NOVANTA INC;IT;Azionario;12.204.363,57;0,33;12.204.363,57;100.721,00;121,17;Stati Uniti;NASDAQ;USD
TOTS3;TOTVS SA;IT;Azionario;11.543.159,43;0,32;11.543.159,43;1.432.589,00;8,06;Brasile;XBSP;BRL
5631;JAPAN STEEL WORKS LTD;Industriali;Azionario;9.817.528,69;0,27;9.817.528,69;206.500,00;47,54;Giappone;Tokyo Stock Exchange;JPY
9880;UBTECH ROBOTICS CORP LTD H;Industriali;Azionario;9.680.888,39;0,27;9.680.888,39;705.250,00;13,73;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
KAI;KADANT INC;Industriali;Azionario;9.496.045,24;0,26;9.496.045,24;32.692,00;290,47;Stati Uniti;New York Stock Exchange Inc.;USD
PSN;PARSONS CORP;Industriali;Azionario;9.061.004,75;0,25;9.061.004,75;149.645,00;60,55;Stati Uniti;New York Stock Exchange Inc.;USD
AMBA;AMBARELLA INC;IT;Azionario;8.476.126,62;0,23;8.476.126,62;120.297,00;70,46;Stati Uniti;NASDAQ;USD
