18-dic-2025;;;;;;;;;;;
iShares Core MSCI Japan IMI UCITS ETF;;;;;;;;;;;
Inception Date;25/09/2009;;;;;;;;;;
Fund Holdings as of;18/12/2025;;;;;;;;;;
Number of Securities;957,00;;;;;;;;;;
Shares Outstanding;101.620.596,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
7203;TOYOTA MOTOR CORP;Consumi Discrezionali;Azionario;258.918.244,56;3,59;258.918.244,56;11.975.450,00;21,62;Giappone;Tokyo Stock Exchange;JPY
8306;MITSUBISHI UFJ FINANCIAL GROUP INC;Finanziari;Azionario;226.229.856,31;3,14;226.229.856,31;14.487.000,00;15,62;Giappone;Tokyo Stock Exchange;JPY
6758;SONY GROUP CORP;Consumi Discrezionali;Azionario;202.652.670,29;2,81;202.652.670,29;7.771.600,00;26,08;Giappone;Tokyo Stock Exchange;JPY
6501;HITACHI LTD;Industriali;Azionario;179.208.290,85;2,49;179.208.290,85;5.792.800,00;30,94;Giappone;Tokyo Stock Exchange;JPY
8316;SUMITOMO MITSUI FINANCIAL GROUP IN;Finanziari;Azionario;146.452.095,54;2,03;146.452.095,54;4.637.600,00;31,58;Giappone;Tokyo Stock Exchange;JPY
9984;SOFTBANK GROUP CORP;Comunicazione;Azionario;125.158.073,23;1,74;125.158.073,23;1.207.300,00;103,67;Giappone;Tokyo Stock Exchange;JPY
6857;ADVANTEST CORP;IT;Azionario;117.210.116,04;1,63;117.210.116,04;969.500,00;120,90;Giappone;Tokyo Stock Exchange;JPY
8411;MIZUHO FINANCIAL GROUP INC;Finanziari;Azionario;113.277.366,68;1,57;113.277.366,68;3.146.380,00;36,00;Giappone;Tokyo Stock Exchange;JPY
8035;TOKYO ELECTRON LTD;IT;Azionario;110.156.179,88;1,53;110.156.179,88;565.300,00;194,86;Giappone;Tokyo Stock Exchange;JPY
6098;RECRUIT HOLDINGS LTD;Industriali;Azionario;101.179.378,96;1,40;101.179.378,96;1.778.500,00;56,89;Giappone;Tokyo Stock Exchange;JPY
7011;MITSUBISHI HEAVY INDUSTRIES LTD;Industriali;Azionario;99.236.190,81;1,38;99.236.190,81;4.050.300,00;24,50;Giappone;Tokyo Stock Exchange;JPY
7974;NINTENDO LTD;Comunicazione;Azionario;98.681.028,00;1,37;98.681.028,00;1.397.300,00;70,62;Giappone;Tokyo Stock Exchange;JPY
8058;MITSUBISHI CORP;Industriali;Azionario;94.690.228,55;1,31;94.690.228,55;4.059.700,00;23,32;Giappone;Tokyo Stock Exchange;JPY
8031;MITSUI LTD;Industriali;Azionario;89.799.422,03;1,25;89.799.422,03;3.124.100,00;28,74;Giappone;Tokyo Stock Exchange;JPY
8001;ITOCHU CORP;Industriali;Azionario;89.641.816,84;1,24;89.641.816,84;1.498.800,00;59,81;Giappone;Tokyo Stock Exchange;JPY
6861;KEYENCE CORP;IT;Azionario;88.325.282,07;1,23;88.325.282,07;245.200,00;360,22;Giappone;Tokyo Stock Exchange;JPY
8766;TOKIO MARINE HOLDINGS INC;Finanziari;Azionario;88.239.437,46;1,22;88.239.437,46;2.326.700,00;37,92;Giappone;Tokyo Stock Exchange;JPY
9983;FAST RETAILING LTD;Consumi Discrezionali;Azionario;87.225.137,42;1,21;87.225.137,42;240.600,00;362,53;Giappone;Tokyo Stock Exchange;JPY
