15-dic-2025;;;;;;;;;;;
iShares MSCI USA SRI UCITS ETF;;;;;;;;;;;
Inception Date;11/07/2016;;;;;;;;;;
Fund Holdings as of;15/12/2025;;;;;;;;;;
Number of Securities;151,00;;;;;;;;;;
Shares Outstanding;168.986.462,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
NVDA;NVIDIA CORP;IT;Azionario;367.864.166,71;9,84;367.864.166,71;2.086.699,00;176,29;Stati Uniti;NASDAQ;USD
TSLA;TESLA INC;Consumi Discrezionali;Azionario;171.504.681,37;4,59;171.504.681,37;360.827,00;475,31;Stati Uniti;NASDAQ;USD
AMAT;APPLIED MATERIAL INC;IT;Azionario;130.175.164,80;3,48;130.175.164,80;498.240,00;261,27;Stati Uniti;NASDAQ;USD
LRCX;LAM RESEARCH CORP;IT;Azionario;126.392.868,30;3,38;126.392.868,30;769.281,00;164,30;Stati Uniti;NASDAQ;USD
VZ;VERIZON COMMUNICATIONS INC;Comunicazione;Azionario;122.226.069,60;3,27;122.226.069,60;2.995.737,00;40,80;Stati Uniti;New York Stock Exchange Inc.;USD
DIS;WALT DISNEY;Comunicazione;Azionario;117.989.398,26;3,16;117.989.398,26;1.067.874,00;110,49;Stati Uniti;New York Stock Exchange Inc.;USD
INTU;INTUIT INC;IT;Azionario;114.151.111,80;3,05;114.151.111,80;174.383,00;654,60;Stati Uniti;NASDAQ;USD
INTC;INTEL CORPORATION CORP;IT;Azionario;106.044.896,10;2,84;106.044.896,10;2.827.110,00;37,51;Stati Uniti;NASDAQ;USD
TXN;TEXAS INSTRUMENT INC;IT;Azionario;101.217.945,92;2,71;101.217.945,92;568.736,00;177,97;Stati Uniti;NASDAQ;USD
NOW;SERVICENOW INC;IT;Azionario;99.550.989,60;2,66;99.550.989,60;130.098,00;765,20;Stati Uniti;New York Stock Exchange Inc.;USD
HD;HOME DEPOT INC;Consumi Discrezionali;Azionario;96.642.904,84;2,59;96.642.904,84;270.716,00;356,99;Stati Uniti;New York Stock Exchange Inc.;USD
ADBE;ADOBE INC;IT;Azionario;91.967.940,75;2,46;91.967.940,75;261.905,00;351,15;Stati Uniti;NASDAQ;USD
KO;COCA-COLA;Generi di largo consumo;Azionario;78.756.899,37;2,11;78.756.899,37;1.109.721,00;70,97;Stati Uniti;New York Stock Exchange Inc.;USD
AXP;AMERICAN EXPRESS;Finanziari;Azionario;57.994.168,87;1,55;57.994.168,87;151.591,00;382,57;Stati Uniti;New York Stock Exchange Inc.;USD
PEP;PEPSICO INC;Generi di largo consumo;Azionario;56.119.102,98;1,50;56.119.102,98;371.109,00;151,22;Stati Uniti;NASDAQ;USD
BKNG;BOOKING HOLDINGS INC;Consumi Discrezionali;Azionario;48.016.844,60;1,28;48.016.844,60;8.798,00;5.457,70;Stati Uniti;NASDAQ;USD
AMGN;AMGEN INC;Salute;Azionario;47.727.206,03;1,28;47.727.206,03;146.713,00;325,31;Stati Uniti;NASDAQ;USD
EA;ELECTRONIC ARTS INC;Comunicazione;Azionario;43.615.486,40;1,17;43.615.486,40;213.592,00;204,20;Stati Uniti;NASDAQ;USD
BLK;BLACKROCK INC;Finanziari;Azionario;43.235.538,48;1,16;43.235.538,48;39.953,00;1.082,16;Stati Uniti;New York Stock Exchange Inc.;USD
SPGI;S&P GLOBAL INC;Finanziari;Azionario;42.559.982,29;1,14;42.559.982,29;85.183,00;499,63;Stati Uniti;New York Stock Exchange Inc.;USD
TTWO;TAKE TWO INTERACTIVE SOFTWARE INC;Comunicazione;Azionario;40.365.606,24;1,08;40.365.606,24;165.054,00;244,56;Stati Uniti;NASDAQ;USD
GILD;GILEAD SCIENCES INC;Salute;Azionario;40.336.993,02;1,08;40.336.993,02;336.759,00;119,78;Stati Uniti;NASDAQ;USD
ADSK;AUTODESK INC;IT;Azionario;39.143.818,62;1,05;39.143.818,62;133.002,00;294,31;Stati Uniti;NASDAQ;USD
LOW;LOWES COMPANIES INC;Consumi Discrezionali;Azionario;37.873.023,30;1,01;37.873.023,30;152.235,00;248,78;Stati Uniti;New York Stock Exchange Inc.;USD
PGR;PROGRESSIVE CORP;Finanziari;Azionario;37.794.909,44;1,01;37.794.909,44;159.904,00;236,36;Stati Uniti;New York Stock Exchange Inc.;USD
NXPI;NXP SEMICONDUCTORS NV;IT;Azionario;36.496.301,41;0,98;36.496.301,41;157.427,00;231,83;Stati Uniti;NASDAQ;USD
DE;DEERE;Industriali;Azionario;34.119.707,16;0,91;34.119.707,16;69.916,00;488,01;Stati Uniti;New York Stock Exchange Inc.;USD
