25-Apr-2025;;;;;;;;;;;
iShares Core FTSE 100 UCITS ETF GBP (Acc);;;;;;;;;;;
Inception Date;26/Jan/2010;;;;;;;;;;
Fund Holdings as of;25/Apr/2025;;;;;;;;;;
Number of Securities;100.00;;;;;;;;;;
Shares Outstanding;13,875,158.00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
AZN;ASTRAZENECA PLC;Health Care;Equity;169.074.256,00;7,37;169.074.256,00;1.625.714,00;104,00;United Kingdom;London Stock Exchange;GBP
SHEL;SHELL PLC;Energy;Equity;162.675.201,92;7,09;162.675.201,92;6.602.078,00;24,64;United Kingdom;London Stock Exchange;GBP
HSBC;HSBC HOLDINGS PLC;Financials;Equity;161.613.354,00;7,04;161.613.354,00;19.378.100,00;8,34;United Kingdom;London Stock Exchange;GBP
UL;UNILEVER PLC;Consumer Staples;Equity;123.933.054,60;5,40;123.933.054,60;2.645.316,00;46,85;United Kingdom;London Stock Exchange;GBP
RELX;RELX PLC;Industrials;Equity;81.192.929,06;3,54;81.192.929,06;2.028.302,00;40,03;United Kingdom;London Stock Exchange;GBP
RR.L;ROLLS-ROYCE HOLDINGS PLC;Industrials;Equity;69.723.707,05;3,04;69.723.707,05;9.230.038,00;7,55;United Kingdom;London Stock Exchange;GBP
BTI;BRITISH AMERICAN TOBACCO;Consumer Staples;Equity;67.395.212,01;2,94;67.395.212,01;2.145.661,00;31,41;United Kingdom;London Stock Exchange;GBP
BP;BP PLC;Energy;Equity;63.738.547,52;2,78;63.738.547,52;17.488.969,00;3,64;United Kingdom;London Stock Exchange;GBP
LSEG.L;LONDON STOCK EXCHANGE GROUP PLC;Financials;Equity;61.687.454,40;2,69;61.687.454,40;539.226,00;114,40;United Kingdom;London Stock Exchange;GBP
GSK;GLAXOSMITHKLINE;Health Care;Equity;60.268.946,13;2,63;60.268.946,13;4.339.017,00;13,89;United Kingdom;London Stock Exchange;GBP
NGG;NATIONAL GRID PLC;Utilities;Equity;56.847.956,32;2,48;56.847.956,32;5.302.981,00;10,72;United Kingdom;London Stock Exchange;GBP
BAESY;BAE SYSTEMS PLC;Industrials;Equity;55.437.601,05;2,42;55.437.601,05;3.294.954,00;16,82;United Kingdom;London Stock Exchange;GBP
RIO;RIO TINTO PLC;Materials;Equity;52.783.321,50;2,30;52.783.321,50;1.160.073,00;45,50;United Kingdom;London Stock Exchange;GBP
DEO;DIAGEO PLC;Consumer Staples;Equity;49.829.833,55;2,17;49.829.833,55;2.413.067,00;20,65;United Kingdom;London Stock Exchange;GBP
LYG;LLOYDS BANKING GROUP PLC;Financials;Equity;48.370.932,23;2,11;48.370.932,23;66.261.551,00;0,73;United Kingdom;London Stock Exchange;GBP
BCS;BARCLAYS PLC;Financials;Equity;46.059.354,29;2,01;46.059.354,29;15.727.968,00;2,93;United Kingdom;London Stock Exchange;GBP
CMPGF;COMPASS GROUP PLC;Consumer Discretionary;Equity;45.458.598,58;1,98;45.458.598,58;1.848.662,00;24,59;United Kingdom;London Stock Exchange;GBP
III.L;3I GROUP PLC;Financials;Equity;42.458.960,94;1,85;42.458.960,94;1.008.766,00;42,09;United Kingdom;London Stock Exchange;GBP
NWG;NATWEST GROUP PLC;Financials;Equity;38.183.468,40;1,66;38.183.468,40;8.045.400,00;4,75;United Kingdom;London Stock Exchange;GBP
HLN;HALEON PLC;Health Care;Equity;36.297.897,17;1,58;36.297.897,17;9.615.337,00;3,77;United Kingdom;London Stock Exchange;GBP
EXPN.L;EXPERIAN PLC;Industrials;Equity;36.137.332,42;1,57;36.137.332,42;996.617,00;36,26;United Kingdom;London Stock Exchange;GBP
GLEN.L;GLENCORE PLC;Materials;Equity;35.336.425,17;1,54;35.336.425,17;13.163.131,00;2,68;United Kingdom;London Stock Exchange;GBP
RKT.L;RECKITT BENCKISER GROUP PLC;Consumer Staples;Equity;34.744.303,23;1,51;34.744.303,23;749.931,00;46,33;United Kingdom;London Stock Exchange;GBP
AAL.L;ANGLO AMERICAN PLC;Materials;Equity;29.047.361,04;1,27;29.047.361,04;1.352.298,00;21,48;United Kingdom;London Stock Exchange;GBP
IMB.L;IMPERIAL BRANDS PLC;Consumer Staples;Equity;27.155.558,43;1,18;27.155.558,43;904.281,00;30,03;United Kingdom;London Stock Exchange;GBP
TSCO.L;TESCO PLC;Consumer Staples;Equity;26.172.375,20;1,14;26.172.375,20;7.312.762,00;3,58;United Kingdom;London Stock Exchange;GBP
SCBFF;STANDARD CHARTERED PLC;Financials;Equity;23.525.505,75;1,03;23.525.505,75;2.156.325,00;10,91;United Kingdom;London Stock Exchange;GBP
PRU;PRUDENTIAL PLC;Financials;Equity;22.996.333,28;1,00;22.996.333,28;2.869.520,00;8,01;United Kingdom;London Stock Exchange;GBP
ASHTY;GBP CASH;Cash and/or Derivatives;Cash;22.204.519,43;0,97;22.204.519,43;22.204.519,00;100,00;United Kingdom;--;GBP
SSE.L;ASHTEAD GROUP PLC;Industrials;Equity;19.407.610,80;0,85;19.407.610,80;472.895,00;41,04;United Kingdom;London Stock Exchange;GBP
AV.L;SSE PLC;Utilities;Equity;19.166.164,00;0,84;19.166.164,00;1.186.025,00;16,16;United Kingdom;London Stock Exchange;GBP
VOD;AVIVA PLC;Financials;Equity;15.946.755,55;0,70;15.946.755,55;2.932.467,00;5,44;United Kingdom;London Stock Exchange;GBP
LGEN.L;VODAFONE GROUP PLC;Communication;Equity;15.654.306,27;0,68;15.654.306,27;22.255.198,00;0,70;United Kingdom;London Stock Exchange;GBP
NEXT;LEGAL AND GENERAL GROUP PLC;Financials;Equity;15.172.005,02;0,66;15.172.005,02;6.385.524,00;2,38;United Kingdom;London Stock Exchange;GBP
CCEP;NEXT PLC;Consumer Discretionary;Equity;15.130.427,20;0,66;15.130.427,20;125.668,00;120,40;United Kingdom;London Stock Exchange;GBP
IHG;COCA COLA EUROPACIFIC PARTNERS PLC;Consumer Staples;Equity;14.618.259,60;0,64;14.618.259,60;222.162,00;65,80;Netherlands;London Stock Exchange;GBP
SGE.L;INTERCONTINENTAL HOTELS GROUP PLC;Consumer Discretionary;Equity;13.488.372,44;0,59;13.488.372,44;171.914,00;78,46;United Kingdom;London Stock Exchange;GBP
BT-A.L;THE SAGE GROUP PLC;Information Technology;Equity;13.000.095,92;0,57;13.000.095,92;1.085.603,00;11,98;United Kingdom;London Stock Exchange;GBP
HLMA.L;BLK ICS GBP LIQ AGENCY DIS;Cash and/or Derivatives;Money Market;12.864.583,31;0,56;12.864.583,31;12.864.583,00;1,00;Ireland;--;GBP
IAG.L;SCOTTISH MORTGAGE INVESTMENT TRUST;Financials;Equity;12.025.773,05;0,52;12.025.773,05;1.332.348,00;9,03;United Kingdom;--;GBP
INF.L;BT GROUP PLC;Communication;Equity;11.490.712,80;0,50;11.490.712,80;6.839.710,00;1,68;United Kingdom;London Stock Exchange;GBP
SGRO.L;HALMA PLC;Information Technology;Equity;11.163.024,60;0,49;11.163.024,60;408.902,00;27,30;United Kingdom;London Stock Exchange;GBP
ADM.L;INTERNATIONAL AIRLINES GROUP SA;Industrials;Equity;10.381.958,72;0,45;10.381.958,72;3.908.870,00;2,66;Spain;London Stock Exchange;GBP
RTO;INFORMA PLC;Communication;Equity;10.301.972,03;0,45;10.301.972,03;1.443.662,00;7,14;United Kingdom;London Stock Exchange;GBP
SNN;SEGRO REIT PLC;Real Estate;Equity;10.155.471,80;0,44;10.155.471,80;1.467.978,00;6,92;United Kingdom;London Stock Exchange;GBP
CNA.L;ADMIRAL GROUP PLC;Financials;Equity;10.151.972,64;0,44;10.151.972,64;316.458,00;32,08;United Kingdom;London Stock Exchange;GBP
MKS.L;RENTOKIL INITIAL PLC;Industrials;Equity;9.370.757,49;0,41;9.370.757,49;2.731.203,00;3,43;United Kingdom;London Stock Exchange;GBP
CCH.L;SMITH AND NEPHEW PLC;Health Care;Equity;9.352.510,70;0,41;9.352.510,70;943.364,00;9,91;United Kingdom;London Stock Exchange;GBP
PSO;CENTRICA PLC;Utilities;Equity;8.746.422,48;0,38;8.746.422,48;5.558.578,00;1,57;United Kingdom;London Stock Exchange;GBP
BZLFY;MARKS AND SPENCER GROUP PLC;Consumer Staples;Equity;8.558.171,98;0,37;8.558.171,98;2.217.143,00;3,86;United Kingdom;London Stock Exchange;GBP
UU.L;COCA COLA HBC AG;Consumer Staples;Equity;8.375.691,42;0,37;8.375.691,42;220.529,00;37,98;United Kingdom;London Stock Exchange;GBP
ITRK.L;PEARSON PLC;Consumer Discretionary;Equity;8.364.026,88;0,36;8.364.026,88;726.044,00;11,52;United Kingdom;London Stock Exchange;GBP
AUTO.L;BUNZL;Industrials;Equity;8.209.416,84;0,36;8.209.416,84;358.177,00;22,92;United Kingdom;London Stock Exchange;GBP
SVTRF;UNITED UTILITIES GROUP PLC;Utilities;Equity;8.197.731,54;0,36;8.197.731,54;742.212,00;11,05;United Kingdom;London Stock Exchange;GBP
ABF.L;INTERTEK GROUP PLC;Industrials;Equity;7.964.204,34;0,35;7.964.204,34;173.361,00;45,94;United Kingdom;London Stock Exchange;GBP
-;AUTO TRADER GROUP PLC;Communication;Equity;7.746.383,23;0,34;7.746.383,23;952.112,00;8,14;United Kingdom;London Stock Exchange;GBP
SMGKF;SEVERN TRENT PLC;Utilities;Equity;7.668.356,94;0,33;7.668.356,94;283.698,00;27,03;United Kingdom;London Stock Exchange;GBP
WEIR.L;ASSOCIATED BRITISH FOODS PLC;Consumer Staples;Equity;7.406.574,12;0,32;7.406.574,12;336.204,00;22,03;United Kingdom;London Stock Exchange;GBP
WPP;BARRATT REDROW PLC;Consumer Discretionary;Equity;7.112.630,08;0,31;7.112.630,08;1.572.547,00;4,52;United Kingdom;London Stock Exchange;GBP
ANTO.L;SMITHS GROUP PLC;Industrials;Equity;6.938.394,86;0,30;6.938.394,86;377.497,00;18,38;United Kingdom;London Stock Exchange;GBP
BZLYF;WEIR GROUP PLC;Industrials;Equity;6.468.213,04;0,28;6.468.213,04;279.767,00;23,12;United Kingdom;London Stock Exchange;GBP
RTMVY;WPP PLC;Communication;Equity;6.462.128,99;0,28;6.462.128,99;1.163.509,00;5,55;United Kingdom;London Stock Exchange;GBP
MRO.L;ANTOFAGASTA PLC;Materials;Equity;6.412.123,44;0,28;6.412.123,44;377.628,00;16,98;United Kingdom;London Stock Exchange;GBP
PSHZF;BEAZLEY PLC;Financials;Equity;6.178.004,88;0,27;6.178.004,88;691.052,00;8,94;United Kingdom;London Stock Exchange;GBP
STJPF;RIGHTMOVE PLC;Communication;Equity;6.141.306,91;0,27;6.141.306,91;855.812,00;7,18;United Kingdom;London Stock Exchange;GBP
DPLM.L;MELROSE INDUSTRIES PLC;Industrials;Equity;5.966.040,66;0,26;5.966.040,66;1.389.390,00;4,29;United Kingdom;London Stock Exchange;GBP
FCIT.L;PERSHING SQUARE HOLDINGS LTD;Financials;Other;5.759.397,44;0,25;5.759.397,44;162.328,00;35,48;Guernsey;--;GBP
MONDY;ST JAMESS PLACE PLC;Financials;Equity;5.660.168,21;0,25;5.660.168,21;594.181,00;9,53;United Kingdom;London Stock Exchange;GBP
GAW.L;DIPLOMA PLC;Industrials;Equity;5.604.883,88;0,24;5.604.883,88;144.307,00;38,84;United Kingdom;London Stock Exchange;GBP
ICGUF;F&C INVESTMENT TRUST PLC;Financials;Equity;5.540.639,22;0,24;5.540.639,22;532.242,00;10,41;United Kingdom;--;GBP
SBRY.L;MONDI PLC;Materials;Equity;5.500.166,39;0,24;5.500.166,39;480.994,00;11,44;United Kingdom;London Stock Exchange;GBP
KGFHF;GAMES WORKSHOP GROUP PLC;Consumer Discretionary;Equity;5.387.558,40;0,23;5.387.558,40;35.632,00;151,20;United Kingdom;London Stock Exchange;GBP
DCC.L;INTERMEDIATE CAPITAL GROUP PLC;Financials;Equity;5.346.400,40;0,23;5.346.400,40;284.383,00;18,80;United Kingdom;London Stock Exchange;GBP
-;SAINSBURY(J) PLC;Consumer Staples;Equity;5.309.834,40;0,23;5.309.834,40;2.042.244,00;2,60;United Kingdom;London Stock Exchange;GBP
IMI.L;KINGFISHER PLC;Consumer Discretionary;Equity;5.262.614,47;0,23;5.262.614,47;1.942.641,00;2,71;United Kingdom;London Stock Exchange;GBP
WTB.L;DCC PLC;Industrials;Equity;5.052.157,68;0,22;5.052.157,68;105.429,00;47,92;United Kingdom;London Stock Exchange;GBP
MNG.L;ALLIANCE WITAN PLC;Financials;Equity;4.985.857,80;0,22;4.985.857,80;436.590,00;11,42;United Kingdom;--;GBP
SPXSF;IMI PLC;Industrials;Equity;4.977.785,34;0,22;4.977.785,34;279.337,00;17,82;United Kingdom;London Stock Exchange;GBP
CNVVY;WHITBREAD PLC;Consumer Discretionary;Equity;4.957.745,10;0,22;4.957.745,10;195.110,00;25,41;United Kingdom;London Stock Exchange;GBP
LAND.L;M&G PLC;Financials;Equity;4.888.569,82;0,21;4.888.569,82;2.399.887,00;2,04;United Kingdom;London Stock Exchange;GBP
PHNX.L;SPIRAX GROUP PLC;Industrials;Equity;4.743.872,20;0,21;4.743.872,20;79.796,00;59,45;United Kingdom;London Stock Exchange;GBP
CRDA.L;CONVATEC GROUP PLC;Health Care;Equity;4.651.480,03;0,20;4.651.480,03;1.811.324,00;2,57;United Kingdom;London Stock Exchange;GBP
BAB.L;LAND SECURITIES GROUP REIT PLC;Real Estate;Equity;4.635.536,40;0,20;4.635.536,40;799.920,00;5,79;United Kingdom;London Stock Exchange;GBP
PSMMY;PHOENIX GROUP HOLDINGS PLC;Financials;Equity;4.458.984,00;0,19;4.458.984,00;758.976,00;5,88;United Kingdom;London Stock Exchange;GBP
TW.L;CRODA INTERNATIONAL PLC;Materials;Equity;4.451.376,60;0,19;4.451.376,60;149.878,00;29,70;United Kingdom;London Stock Exchange;GBP
EDV.L;BABCOCK INTERNATIONAL GROUP PLC;Industrials;Equity;4.422.434,68;0,19;4.422.434,68;548.349,00;8,06;United Kingdom;London Stock Exchange;GBP
BKG.L;PERSIMMON PLC;Consumer Discretionary;Equity;4.397.387,78;0,19;4.397.387,78;349.415,00;12,59;United Kingdom;London Stock Exchange;GBP
HWDJY;TAYLOR WIMPEY PLC;Consumer Discretionary;Equity;4.392.405,50;0,19;4.392.405,50;3.798.016,00;1,16;United Kingdom;London Stock Exchange;GBP
LMP.L;ENDEAVOUR MINING;Materials;Equity;4.385.743,20;0,19;4.385.743,20;217.116,00;20,20;United Kingdom;London Stock Exchange;GBP
ENT.L;BERKELEY GROUP HOLDINGS (THE) PLC;Consumer Discretionary;Equity;4.354.418,90;0,19;4.354.418,90;108.589,00;40,10;United Kingdom;London Stock Exchange;GBP
HSX.L;HOWDEN JOINERY GROUP PLC;Industrials;Equity;4.275.705,66;0,19;4.275.705,66;592.203,00;7,22;United Kingdom;London Stock Exchange;GBP
UTG.L;LONDONMETRIC PROPERTY REIT PLC;Real Estate;Equity;4.127.273,90;0,18;4.127.273,90;2.150.742,00;1,92;United Kingdom;London Stock Exchange;GBP
PCT.L;ENTAIN PLC;Consumer Discretionary;Equity;3.877.332,05;0,17;3.877.332,05;659.186,00;5,88;United Kingdom;London Stock Exchange;GBP
ESYJY;HISCOX LTD;Financials;Equity;3.853.699,68;0,17;3.853.699,68;349.067,00;11,04;United Kingdom;London Stock Exchange;GBP
HIK.L;UNITE GROUP PLC;Real Estate;Equity;3.748.744,91;0,16;3.748.744,91;431.138,00;8,70;United Kingdom;London Stock Exchange;GBP
SDR.L;POLAR CAPITAL TECHNOLOGY TRUST PLC;Financials;Equity;3.705.657,90;0,16;3.705.657,90;1.280.020,00;2,90;United Kingdom;London Stock Exchange;GBP
JD.L;EASYJET PLC;Industrials;Equity;3.444.379,08;0,15;3.444.379,08;704.372,00;4,89;United Kingdom;London Stock Exchange;GBP
FRES.L;HIKMA PHARMACEUTICALS PLC;Health Care;Equity;3.303.937,17;0,14;3.303.937,17;173.983,00;18,99;United Kingdom;London Stock Exchange;GBP
AAF.L;SCHRODERS PLC;Financials;Equity;2.946.650,62;0,13;2.946.650,62;899.466,00;3,28;United Kingdom;London Stock Exchange;GBP
SXRW;CASH COLLATERAL GBP MSIFT;Cash and/or Derivatives;Cash Collateral and Margins;2.798.000,00;0,12;2.798.000,00;2.798.000,00;100,00;United Kingdom;--;GBP
