18-apr-2025;;;;;;;;;;
iShares Global Aerospace & Defence UCITS ETF;;;;;;;;;;
Inception Date;01/02/2024;;;;;;;;;
Fund Holdings as of;18/04/2025;;;;;;;;;
Number of Securities;58,00;;;;;;;;;
Shares Outstanding;63.529.500,00;;;;;;;;;
;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Valuta di mercato
;ExxonMobil;Energia;Azionario;94,36;0,18;50.404.367,93;277.267,00;181,79;Stati Uniti;USD
XOM;Chevron;Energia;Azionario;51,19;0,10;44.345.120,06;344.054,00;128,89;Stati Uniti;USD
CVX;Shell;Energia;Azionario;38,93;0,07;31.362.782,30;193.717,00;161,90;Regno Unito;GBP/USD
SHEL;ConocoPhillips;Energia;Azionario;25,01;0,05;25.115.545,52;54.119,00;464,08;Stati Uniti;USD
COP;TotalEnergies;Energia;Azionario;24,43;0,05;24.722.130,78;159.612,00;154,89;Francia;EUR
TTE;Enbridge;Energia;Azionario;18,58;0,04;20.823.585,53;86.456,00;240,86;Canada;CAD/USD
ENB;BP;Energia;Azionario;16,28;0,03;20.705.071,84;2.190.083,00;9,45;Regno Unito;GBP
BP;EOG Resources;Energia;Azionario;13,93;0,03;19.353.264,88;14.468,00;1.337,66;Stati Uniti;USD
EOG;The Williams Cos;Energia;Azionario;13,30;0,03;19.017.945,27;35.193,00;540,39;Stati Uniti;USD
WMB;Canadian Natural;Energia;Azionario;12,75;0,02;18.695.935,21;11.251,00;1.661,71;Canada;CAD/USD
CNQ;ConocoPhillips;Energia;Azionario;23,88;0,05;18.101.461,28;65.566,00;276,08;Stati Uniti;USD
-;Hess Corporation;Energia;Azionario;0,91;0,00;17.656.784,08;777.761,00;22,70;Stati Uniti;USD
DINO;HF Sinclair Corporation;Energia;Azionario;0,65;0,00;12.892.199,37;104.619,00;123,23;Stati Uniti;USD
IDKOY;Idemitsu Kosan Co., Ltd.;Energia;Azionario;0,65;0,00;10.666.375,38;48.879,00;218,22;Giappone;JPY
IMO;Imperial Oil Limited;Energia;Azionario;0,65;0,00;10.442.508,39;18.663,00;559,53;Canada;CAD
IPXHF;INPEX Corporation;Energia;Azionario;0,65;0,00;6.557.760,46;22.836,00;287,17;Giappone;JPY
KMI;Kinder Morgan, Inc.;Energia;Azionario;0,65;0,00;5.335.628,62;104.346,00;51,13;Stati Uniti;USD
MPC;Marathon Petroleum Corporation;Energia;Azionario;0,65;0,00;4.520.607,49;7.747,00;583,53;Stati Uniti;USD
MEG.TO;Meg Energy Corp.;Energia;Azionario;0,39;0,00;4.309.922,87;13.848,00;311,23;Canada;CAD
NESTE.HE;Neste Oyj;Energia;Azionario;0,39;0,00;3.835.248,77;84.053,00;45,63;Finlandia;EUR
OXY;Occidental Petroleum Corporation;Energia;Azionario;0,39;0,00;3.765.586,50;19.175,00;196,38;Stati Uniti;USD
OKE;Oneok, Inc.;Energia;Azionario;0,39;0,00;3.468.804,42;22.647,00;153,17;Stati Uniti;USD
OVV;Ovintiv Inc.;Energia;Azionario;0,39;0,00;3.165.561,36;47.934,00;66,04;Stati Uniti/Canada;CAD/USD
PKI.TO;Parkland Corporation;Energia;Azionario;0,39;0,00;3.150.404,16;9.892,00;318,48;Canada;CAD
PBA;Pembina Pipeline Corporation;Energia;Azionario;0,39;0,00;2.600.631,20;6.370,00;408,26;Canada;CAD
PSX;Phillips 66;Energia;Azionario;0,39;0,00;2.599.297,05;15.365,00;169,17;Stati Uniti;USD
STOSF;Santos Limited;Energia;Azionario;0,39;0,00;2.519.353,56;10.294,00;244,74;Australia;AUD
SLB;Schlumberger Limited;Energia;Azionario;0,39;0,00;2.442.785,34;23.554,00;103,71;Stati Uniti;USD
SU;Suncor Energy Inc.;Energia;Azionario;0,39;0,00;2.225.527,20;10.140,00;219,48;Canada;CAD
TRGP;Targa Resources Corp.;Energia;Azionario;0,39;0,00;2.134.870,45;392.900,00;5,43;Stati Uniti;USD
TRP;TC Energy Corporation;Energia;Azionario;0,39;0,00;1.925.532,70;82.341,00;23,38;Canada;CAD
TS;Tenaris S.A.;Energia;Azionario;0,39;0,00;1.764.440,16;89.384,00;19,74;Lussemburgo;EUR
TPL;Texas Pacific Land Corporation;Energia;Azionario;0,39;0,00;1.729.778,58;318.810,00;5,43;Stati Uniti;USD
TRMLF;Tourmaline Oil Corp.;Energia;Azionario;0,39;0,00;1.583.787,02;4.596,00;344,60;Canada;CAD
VLO;Valero Energy Corporation;Energia;Azionario;0,39;0,00;1.349.066,83;22.374,00;60,30;Stati Uniti;USD
WDS;Woodside Energy Group Ltd;Energia;Azionario;0,39;0,00;1.284.024,36;38.804,00;33,09;Australia;AUD
;Altro;Energia;Azionario;178,08;0,34;1.269.571,94;129.556,00;9,80;-;
MOG-A;MOOG INC CLASS A;Industriali;Azionario;1.214.532,16;0,29;1.214.532,16;7.376,00;164,66;Stati Uniti;USD
HNSDF;HENSOLDT AG;Industriali;Azionario;1.173.925,01;0,28;1.173.925,01;15.766,00;74,46;Germania;EUR
HXL;HEXCEL CORP;Industriali;Azionario;1.099.935,20;0,26;1.099.935,20;21.112,00;52,10;Stati Uniti;USD
AVAV;AEROVIRONMENT INC;Industriali;Azionario;1.067.367,91;0,25;1.067.367,91;7.231,00;147,61;Stati Uniti;USD
047810.KS;KOREA AEROSPACE INDUSTRIES LTD;Industriali;Azionario;1.050.223,05;0,25;1.050.223,05;18.535,00;56,66;Corea;KRW
SPR;SPIRIT AEROSYSTEMS INC CLASS A;Industriali;Azionario;1.004.200,41;0,24;1.004.200,41;30.003,00;33,47;Stati Uniti;USD
ACHR;ARCHER AVIATION INC CLASS A;Industriali;Azionario;755.115,66;0,18;755.115,66;104.442,00;7,23;Stati Uniti;USD
DRS;LEONARDO DRS INC;Industriali;Azionario;705.719,76;0,17;705.719,76;19.356,00;36,46;Stati Uniti;USD
QQ.L;QINETIQ GROUP PLC;Industriali;Azionario;658.689,04;0,16;658.689,04;128.749,00;5,12;Regno unito;GBP
MRCY;MERCURY SYSTEMS INC;Industriali;Azionario;638.635,36;0,15;638.635,36;13.316,00;47,96;Stati Uniti;USD
